section,scenario,cans,line,huf_per_can,eur_per_can,status,note
CHANNEL,CONSIGNMENT @899 gym keeps 100,1700,CONTRIBUTION PER CAN,105.13,0.290,DERIVED,"(899-100)/1.27 - 524. PREFERRED consignment structure."
CHANNEL,CONSIGNMENT @799 gym keeps 160,1700,CONTRIBUTION PER CAN,-20.85,-0.057,DERIVED,"LOSS. (799-160)/1.27 = 503.15 vs 524 COGS. DO NOT USE THIS COMBINATION."
CHANNEL,WHOLESALE @470 net,1700,CONTRIBUTION PER CAN,-54.00,-0.149,DERIVED,LOSS at batch-1 volume. Wholesale is not viable until ~10000 cans.
BREAKEVEN,BATCH 1 @899 direct,1700,Cash deployed,994620.00,2740.00,DERIVED,2300 inventory + 440 setup.
BREAKEVEN,BATCH 1 @899 direct,1700,Sample cans withheld,60.00,0.00,DECISION,"CAPPED AT 60. A 175-can sample budget makes break-even arithmetically impossible."
BREAKEVEN,BATCH 1 @899 direct,1700,Sellable cans,1640.00,0.00,DERIVED,1700 - 60 samples.
BREAKEVEN,BATCH 1 @899 direct,1700,Cans needed to recover all cash,1405.00,0.00,DERIVED,994620 / 707.87 = 1405. Feasible: 1405 of 1640 = 86% sell-through.
BREAKEVEN,BATCH 1 @899 direct,1700,Net result at 100% sell-through,166286.00,458.00,DERIVED,1640 x 707.87 - 994620 = +166286 HUF = +EUR 458.
BREAKEVEN,BATCH 1 @799 direct,1700,Cans needed to recover all cash,1581.00,0.00,DERIVED,994620 / 629.13 = 1581 of 1640 sellable = 96% sell-through. VERY TIGHT.
BREAKEVEN,BATCH 1 @799 direct,1700,Net result at 100% sell-through,37157.00,102.00,DERIVED,1640 x 629.13 - 994620 = +37157 HUF = +EUR 102. Essentially break-even.
SCALE CURVE,unified architecture,1700,TOTAL LANDED COGS,524.00,1.444,ESTIMATE,"All rows below use ONE architecture: blank can + shrink sleeve + co-packer stock + 119000 HUF fixed setup."
SCALE CURVE,unified architecture,5000,TOTAL LANDED COGS,431.00,1.187,ESTIMATE,Setup amortisation falls from 70 to 24 HUF/can.
SCALE CURVE,unified architecture,10000,TOTAL LANDED COGS,390.00,1.074,ESTIMATE,WHOLESALE AT 470 NET BECOMES VIABLE HERE (+80 HUF/can).
SCALE CURVE,unified architecture,25000,TOTAL LANDED COGS,349.00,0.961,ESTIMATE,Meets the founder's 350 HUF maximum COGS target.
SCALE CURVE,unified architecture,50000,TOTAL LANDED COGS,319.00,0.879,ESTIMATE,
SCALE CURVE,unified architecture,100000,TOTAL LANDED COGS,296.00,0.815,ESTIMATE,Meets the founder's 300 HUF preferred target. Iceland-equivalent economics.
CROSSOVER,,10000,COGS falls below 400 HUF,400.00,1.102,DERIVED,Approx 9000-10000 cans.
CROSSOVER,,25000,COGS falls below 350 HUF,350.00,0.964,DERIVED,"The founder's MAXIMUM acceptable COGS - reached at ~25000 cans, not 75000."
CROSSOVER,,95000,COGS falls below 300 HUF,300.00,0.826,DERIVED,The founder's PREFERRED COGS - reached at ~95000 cans.
CROSSOVER,,0,COGS falls below 250 HUF,0.00,0.000,NOT REACHABLE,Not reachable at 20 g protein. Ingredients alone are ~198 HUF at scale.
LOWER PROTEIN,ARCH G1+ 15-16 g,25000,TOTAL LANDED COGS,282.00,0.777,ESTIMATE,"Ingredients ~145.52 pilot / ~131 scale. Meets the 300 HUF target at 25000 instead of 95000."
LOWER PROTEIN,ARCH G1+ 15-16 g,1700,TOTAL LANDED COGS,457.00,1.259,ESTIMATE,67 HUF/can cheaper than ARCH F at pilot scale.
